,true,pred,kfold
allobaculum_stercoricanis,37.0,51.94869743255412,3.0
shewanella_algae,28.0,23.404082209914726,1.0
bifidobacterium_saguini,37.0,34.22920334572495,4.0
ochrobactrum_rhizosphaerae,28.0,31.075285823195976,1.0
sphingomonas_haloaromaticamans,30.0,28.635403863720754,0.0
kurthia_massiliensis,28.0,28.41079830341802,0.0
bacillus_ligniniphilus,30.0,32.84026995405535,1.0
planococcus_maritimus,29.0,28.305942269826716,2.0
collinsella_aerofaciens,37.0,31.25234733489787,3.0
planococcus_halocryophilus,18.0,21.496143075490778,2.0
streptococcus_ictaluri,30.0,24.779681893850153,2.0
enterococcus_asini,37.0,24.532973201125664,1.0
palaeococcus_pacificus,80.0,70.06136980757097,1.0
clostridium_baratii,37.0,34.95599261030535,1.0
paraglaciecola_chathamensis,18.0,19.350022437521822,4.0
shewanella_oneidensis,30.0,17.39357865090073,4.0
lactococcus_lactis,31.0,26.64080706343035,1.0
shewanella_baltica,25.0,16.5410145829616,1.0
methylotenera_versatilis,25.0,18.07679474587143,4.0
eubacterium_sulci,37.0,43.899306208938164,1.0
glaciecola_pallidula,13.0,10.611802222678072,4.0
paenibacillus_lactis,30.0,33.4806911867188,0.0
nocardia_caishijiensis,29.0,29.267566415334528,2.0
balneola_vulgaris,27.0,19.690957411802167,3.0
streptomyces_viridosporus,28.0,32.65960822967326,3.0
caenibacillus_caldisaponilyticus,55.0,55.245077998488945,1.0
desulfovibrio_vulgaris,34.0,28.176715585256403,2.0
actinoalloteichus_spitiensis,30.0,32.68415199188029,3.0
nitratifractor_salsuginis,59.0,65.57276653461919,0.0
cladophialophora_carrionii,25.0,22.83756363625229,4.0
aspergillus_brasiliensis,26.0,25.67452751067912,3.0
herbaspirillum_rhizosphaerae,27.0,23.190812232443697,4.0
tepidiphilus_thermophilus,50.0,58.557707698195976,1.0
rhodobacter_johrii,28.0,34.52739452534185,0.0
hoeflea_phototrophica,30.0,26.670062753225153,2.0
alicycliphilus_denitrificans,29.0,36.875764235532635,3.0
dothistroma_septosporum,20.0,14.329944345022028,2.0
denitrovibrio_acetiphilus,30.0,31.27799883589129,1.0
azovibrio_restrictus,28.0,32.29322563079631,3.0
frateuria_aurantia,27.0,23.91863380340373,3.0
vibrio_owensii,27.0,29.687834651320976,1.0
herbaspirillum_huttiense,28.0,24.587573739553278,2.0
methylophaga_frappieri,29.0,20.27805435890854,4.0
providencia_burhodogranariea,31.0,25.667283179709322,4.0
halanaerobium_congolense,42.0,39.88379406147466,0.0
acinetobacter_indicus,31.0,35.09706615620122,0.0
streptobacillus_moniliformis,37.0,33.878724219748385,4.0
