,true,pred,kfold
allobaculum_stercoricanis,37.0,34.339349999999996,3.0
shewanella_algae,28.0,28.750345000000003,1.0
bifidobacterium_saguini,37.0,35.580583,4.0
ochrobactrum_rhizosphaerae,28.0,29.713999999999995,1.0
sphingomonas_haloaromaticamans,30.0,29.285015999999995,0.0
kurthia_massiliensis,28.0,31.770434,0.0
bacillus_ligniniphilus,30.0,33.1045,1.0
planococcus_maritimus,29.0,30.052366999999997,2.0
collinsella_aerofaciens,37.0,35.86435,3.0
planococcus_halocryophilus,18.0,24.1505,2.0
streptococcus_ictaluri,30.0,35.41610000000001,2.0
enterococcus_asini,37.0,34.471667000000004,1.0
palaeococcus_pacificus,80.0,78.37884999999999,1.0
clostridium_baratii,37.0,36.9325,1.0
paraglaciecola_chathamensis,18.0,25.290714999999974,4.0
shewanella_oneidensis,30.0,27.936332999999998,4.0
lactococcus_lactis,31.0,30.45685,1.0
shewanella_baltica,25.0,25.748131999999995,1.0
methylotenera_versatilis,25.0,24.693832999999998,4.0
eubacterium_sulci,37.0,36.4416,1.0
glaciecola_pallidula,13.0,15.7825,4.0
paenibacillus_lactis,30.0,31.1825,0.0
nocardia_caishijiensis,29.0,29.69135,2.0
balneola_vulgaris,27.0,28.018266000000004,3.0
streptomyces_viridosporus,28.0,27.7635,3.0
caenibacillus_caldisaponilyticus,55.0,45.82865499999998,1.0
desulfovibrio_vulgaris,34.0,32.0761,2.0
actinoalloteichus_spitiensis,30.0,30.033166,3.0
nitratifractor_salsuginis,59.0,44.47767199999999,0.0
cladophialophora_carrionii,25.0,24.31675,4.0
aspergillus_brasiliensis,26.0,25.842,3.0
herbaspirillum_rhizosphaerae,27.0,28.7825,4.0
tepidiphilus_thermophilus,50.0,45.78044899999999,1.0
rhodobacter_johrii,28.0,29.797682,0.0
hoeflea_phototrophica,30.0,28.056199999999997,2.0
alicycliphilus_denitrificans,29.0,30.63925,3.0
dothistroma_septosporum,20.0,24.138699999999996,2.0
denitrovibrio_acetiphilus,30.0,34.18964999999999,1.0
azovibrio_restrictus,28.0,31.902,3.0
frateuria_aurantia,27.0,30.12825,3.0
vibrio_owensii,27.0,29.106632999999988,1.0
herbaspirillum_huttiense,28.0,29.704600000000003,2.0
methylophaga_frappieri,29.0,28.574832999999998,4.0
providencia_burhodogranariea,31.0,30.893333,4.0
halanaerobium_congolense,42.0,36.69305,0.0
acinetobacter_indicus,31.0,29.930699999999998,0.0
streptobacillus_moniliformis,37.0,36.82385,4.0
novosphingobium_aromaticivorans,30.0,28.778798999999996,2.0
pseudoalteromonas_issachenkonii,23.0,25.146339,3.0
parascardovia_denticolens,37.0,33.067867,3.0
tetrasphaera_jenkinsii,25.0,29.1595,2.0
corynebacterium_minutissimum,35.0,35.506766999999996,3.0
haematospirillum_jordaniae,37.0,30.372700000000002,4.0
peptoniphilus_lacrimalis,37.0,35.75164999999999,3.0
dialister_invisus,36.0,36.47125,0.0
actinomadura_rubrobrunea,55.0,33.27975,1.0
nocardiopsis_halophila,28.0,29.468,3.0
histoplasma_capsulatum,29.0,29.526,1.0
weissella_confusa,31.0,29.939426000000015,0.0
desulfotomaculum_thermosubterraneum,60.0,58.04516499999999,3.0
mycobacterium_haemophilum,31.0,34.794,2.0
pediococcus_cellicola,34.0,32.2383,4.0
amycolatopsis_thermoflava,45.0,28.752333,0.0
microbacterium_arborescens,30.0,29.563333,4.0
kluyvera_intermedia,31.0,32.924,3.0
