,true,pred,kfold
allobaculum_stercoricanis,37.0,34.476453438896506,3.0
shewanella_algae,28.0,32.44496280667222,1.0
bifidobacterium_saguini,37.0,28.154902868902262,4.0
ochrobactrum_rhizosphaerae,28.0,30.562323097779064,1.0
sphingomonas_haloaromaticamans,30.0,39.13375553788321,0.0
kurthia_massiliensis,28.0,36.66376043604534,0.0
bacillus_ligniniphilus,30.0,40.89233900211264,1.0
planococcus_maritimus,29.0,37.55195380533131,2.0
collinsella_aerofaciens,37.0,41.32545388771062,3.0
planococcus_halocryophilus,18.0,34.46043968118809,2.0
streptococcus_ictaluri,30.0,29.599506641923448,2.0
enterococcus_asini,37.0,32.48305084649664,1.0
palaeococcus_pacificus,80.0,81.621615200729,1.0
clostridium_baratii,37.0,51.96352325443712,1.0
paraglaciecola_chathamensis,18.0,17.0869100041538,4.0
shewanella_oneidensis,30.0,21.678516911042976,4.0
lactococcus_lactis,31.0,27.072146077149238,1.0
shewanella_baltica,25.0,19.828849844877105,1.0
methylotenera_versatilis,25.0,19.02230607143187,4.0
eubacterium_sulci,37.0,45.77475689485423,1.0
glaciecola_pallidula,13.0,14.785558478423766,4.0
paenibacillus_lactis,30.0,41.542245261300444,0.0
nocardia_caishijiensis,29.0,35.85352098949667,2.0
balneola_vulgaris,27.0,27.15875958380029,3.0
streptomyces_viridosporus,28.0,44.10454132076835,3.0
caenibacillus_caldisaponilyticus,55.0,50.88653327152559,1.0
desulfovibrio_vulgaris,34.0,40.27217136239189,2.0
actinoalloteichus_spitiensis,30.0,44.40375325692429,3.0
nitratifractor_salsuginis,59.0,56.51977645124424,0.0
cladophialophora_carrionii,25.0,27.844500378708446,4.0
aspergillus_brasiliensis,26.0,30.082243634514548,3.0
herbaspirillum_rhizosphaerae,27.0,26.6124125389448,4.0
tepidiphilus_thermophilus,50.0,51.802506037678896,1.0
rhodobacter_johrii,28.0,39.76801896367893,0.0
hoeflea_phototrophica,30.0,29.303953135442153,2.0
alicycliphilus_denitrificans,29.0,38.26478296236975,3.0
dothistroma_septosporum,20.0,27.893666533815217,2.0
denitrovibrio_acetiphilus,30.0,38.812217714132956,1.0
azovibrio_restrictus,28.0,41.46685273257445,3.0
frateuria_aurantia,27.0,38.73912564561256,3.0
vibrio_owensii,27.0,20.714149075211935,1.0
herbaspirillum_huttiense,28.0,30.148575210578578,2.0
methylophaga_frappieri,29.0,24.23958009596364,4.0
providencia_burhodogranariea,31.0,20.77467523061634,4.0
halanaerobium_congolense,42.0,47.609586114842415,0.0
acinetobacter_indicus,31.0,30.30496120865982,0.0
streptobacillus_moniliformis,37.0,51.89859343299675,4.0
novosphingobium_aromaticivorans,30.0,33.651435189883706,2.0
pseudoalteromonas_issachenkonii,23.0,18.333626372820767,3.0
parascardovia_denticolens,37.0,30.42590022113077,3.0
tetrasphaera_jenkinsii,25.0,35.79149960675977,2.0
corynebacterium_minutissimum,35.0,31.872775407180097,3.0
haematospirillum_jordaniae,37.0,34.04195481429843,4.0
peptoniphilus_lacrimalis,37.0,39.3057932121101,3.0
dialister_invisus,36.0,44.34127068190338,0.0
actinomadura_rubrobrunea,55.0,45.817419047991386,1.0
nocardiopsis_halophila,28.0,45.43813126465462,3.0
histoplasma_capsulatum,29.0,31.876734045979767,1.0
weissella_confusa,31.0,38.87009739098575,0.0
desulfotomaculum_thermosubterraneum,60.0,60.5996030176579,3.0
mycobacterium_haemophilum,31.0,33.873756554167535,2.0
pediococcus_cellicola,34.0,29.132237345948475,4.0
amycolatopsis_thermoflava,45.0,40.54275222586581,0.0
microbacterium_arborescens,30.0,40.105408100753394,4.0
kluyvera_intermedia,31.0,28.106208132948183,3.0
bacillus_circulans,32.0,37.11082202476484,2.0
streptomyces_griseoflavus,27.0,42.455708339239244,3.0
pseudoalteromonas_piscicida,28.0,20.489606420327327,0.0
nocardia_farcinica,32.0,40.417456856169494,3.0
sulfurimonas_denitrificans,24.0,38.02381683257898,4.0
streptomyces_galbus,27.0,39.87173433791219,4.0
