,true,pred,kfold
allobaculum_stercoricanis,37.0,46.318387210349336,3.0
shewanella_algae,28.0,21.751768622471275,1.0
bifidobacterium_saguini,37.0,32.87805129184814,4.0
ochrobactrum_rhizosphaerae,28.0,32.797309866921545,1.0
sphingomonas_haloaromaticamans,30.0,27.917839470980788,0.0
kurthia_massiliensis,28.0,29.424698642308947,0.0
bacillus_ligniniphilus,30.0,34.63576353752385,1.0
planococcus_maritimus,29.0,27.20084711433069,2.0
collinsella_aerofaciens,37.0,37.77593423409501,3.0
planococcus_halocryophilus,18.0,20.923936141572124,2.0
streptococcus_ictaluri,30.0,24.843364860889608,2.0
enterococcus_asini,37.0,26.504738689398717,1.0
palaeococcus_pacificus,80.0,73.4785600872039,1.0
clostridium_baratii,37.0,40.11041778148407,1.0
paraglaciecola_chathamensis,18.0,20.907229541417365,4.0
shewanella_oneidensis,30.0,20.207542096511677,4.0
lactococcus_lactis,31.0,29.03877376087577,1.0
shewanella_baltica,25.0,15.561051916459164,1.0
methylotenera_versatilis,25.0,14.143364471500284,4.0
eubacterium_sulci,37.0,39.36555411286049,1.0
glaciecola_pallidula,13.0,10.58616716746425,4.0
paenibacillus_lactis,30.0,33.99312973555542,0.0
nocardia_caishijiensis,29.0,28.0036598228221,2.0
balneola_vulgaris,27.0,17.560275517023168,3.0
streptomyces_viridosporus,28.0,31.288493920850023,3.0
caenibacillus_caldisaponilyticus,55.0,55.47697739242028,1.0
desulfovibrio_vulgaris,34.0,30.36399202001131,2.0
actinoalloteichus_spitiensis,30.0,29.640052968315178,3.0
nitratifractor_salsuginis,59.0,60.01578296932966,0.0
cladophialophora_carrionii,25.0,22.473651331634052,4.0
aspergillus_brasiliensis,26.0,26.918549822787135,3.0
herbaspirillum_rhizosphaerae,27.0,20.140933284981756,4.0
tepidiphilus_thermophilus,50.0,61.80092379547306,1.0
rhodobacter_johrii,28.0,29.414151715443907,0.0
hoeflea_phototrophica,30.0,24.940225095045122,2.0
alicycliphilus_denitrificans,29.0,34.946045618651155,3.0
dothistroma_septosporum,20.0,13.051807356928311,2.0
denitrovibrio_acetiphilus,30.0,30.546720004795453,1.0
azovibrio_restrictus,28.0,28.98262372770064,3.0
frateuria_aurantia,27.0,22.493984035977746,3.0
vibrio_owensii,27.0,29.04850763228849,1.0
herbaspirillum_huttiense,28.0,22.28596425817133,2.0
methylophaga_frappieri,29.0,20.661862885247167,4.0
providencia_burhodogranariea,31.0,23.574827335634374,4.0
halanaerobium_congolense,42.0,41.57585772980701,0.0
acinetobacter_indicus,31.0,36.34864654484582,0.0
streptobacillus_moniliformis,37.0,33.59085733267004,4.0
novosphingobium_aromaticivorans,30.0,35.28382540316718,2.0
pseudoalteromonas_issachenkonii,23.0,14.994656038608412,3.0
parascardovia_denticolens,37.0,39.588118499908866,3.0
tetrasphaera_jenkinsii,25.0,19.663339782437536,2.0
corynebacterium_minutissimum,35.0,31.441375838057173,3.0
haematospirillum_jordaniae,37.0,38.737633142970466,4.0
peptoniphilus_lacrimalis,37.0,46.55008561197294,3.0
dialister_invisus,36.0,42.77362042514076,0.0
actinomadura_rubrobrunea,55.0,47.46484907578393,1.0
nocardiopsis_halophila,28.0,35.91300545056907,3.0
histoplasma_capsulatum,29.0,25.231144007697726,1.0
weissella_confusa,31.0,27.74453595657814,0.0
desulfotomaculum_thermosubterraneum,60.0,61.20387926871411,3.0
mycobacterium_haemophilum,31.0,34.11359138029262,2.0
pediococcus_cellicola,34.0,24.170440289198538,4.0
amycolatopsis_thermoflava,45.0,35.540107705258826,0.0
microbacterium_arborescens,30.0,25.247767129727848,4.0
kluyvera_intermedia,31.0,30.728624208395246,3.0
bacillus_circulans,32.0,34.41689778191202,2.0
streptomyces_griseoflavus,27.0,28.13620244817092,3.0
pseudoalteromonas_piscicida,28.0,26.510597767254787,0.0
nocardia_farcinica,32.0,35.467655461569656,3.0
sulfurimonas_denitrificans,24.0,33.17374096167768,4.0
streptomyces_galbus,27.0,27.935481537941083,4.0
paenibacillus_odorifer,30.0,23.310446357178886,4.0
blastomyces_dermatitidis,31.0,23.983335070207886,0.0
vagococcus_penaei,30.0,32.241600803483834,3.0
legionella_hackeliae,37.0,32.59122949049176,2.0
nocardia_carnea,29.0,29.549439044427054,2.0
capronia_coronata,20.0,23.597906185737152,3.0
desulfurococcus_kamchatkensis,82.0,86.61984368955439,4.0
lactobacillus_jensenii,37.0,23.724612664230207,2.0
flavobacterium_filum,27.0,28.86416867943528,0.0
rhizobium_tibeticum,28.0,28.748096123123272,3.0
pichia_kudriavzevii,24.0,24.30398789160536,0.0
methylophaga_thiooxydans,28.0,18.47591155694557,0.0
staphylococcus_vitulinus,37.0,27.686619007573306,1.0
penicillium_steckii,24.0,16.356483235484124,4.0
nautilia_profundicola,43.0,44.65377632680773,4.0
methanocella_paludicola,37.0,40.39392379097265,1.0
mycoplasma_gallinarum,37.0,27.097447288710125,2.0
nosocomiicoccus_ampullae,32.0,34.375287899808754,3.0
acinetobacter_soli,29.0,31.01817714033786,2.0
malassezia_globosa,30.0,31.474310348111068,1.0
lactobacillus_malefermentans,29.0,27.09409930311251,3.0
thiocystis_violascens,25.0,30.106545112346623,1.0
slackia_piriformis,37.0,46.53655123770555,1.0
komagataeibacter_europaeus,30.0,24.45873338706669,0.0
bacillus_muralis,30.0,26.205099899482086,4.0
lachnoanaerobaculum_saburreum,37.0,37.11820808948759,4.0
mycoplasma_glycophilum,37.0,46.63458538669728,4.0
selenomonas_bovis,37.0,41.521123487449394,0.0
persephonella_marina,70.0,73.69331599982438,1.0
leptotrichia_shahii,37.0,37.34827074817923,1.0
methanothermobacter_marburgensis,60.0,58.576858937199304,0.0
prevotella_saccharolytica,37.0,36.14267400665864,0.0
collimonas_arenae,28.0,25.31142923246291,3.0
thermus_islandicus,65.0,71.43487599439892,1.0
colletotrichum_nymphaeae,20.0,21.758082641226462,4.0
chryseolinea_serpens,25.0,26.698349550495323,3.0
corynebacterium_efficiens,37.0,27.347312517279597,1.0
haloferax_prahovense,37.0,39.73950060107257,0.0
bacillus_pseudofirmus,31.0,33.21476880699947,4.0
neisseria_elongata,33.0,30.107491671223762,1.0
flavobacterium_piscis,30.0,18.886543722145817,1.0
methanoplanus_limicola,34.0,48.29527334697109,3.0
ornithinibacillus_californiensis,30.0,40.62313189274304,3.0
clostridium_septicum,37.0,37.437124183549685,4.0
cycloclasticus_pugetii,20.0,10.707559754866391,0.0
listeria_seeligeri,36.0,22.264284998786216,0.0
rhynchosporium_secalis,15.0,15.262178378936902,4.0
vibrio_atlanticus,25.0,17.906623271739996,4.0
enhygromyxa_salina,30.0,29.833248326105483,0.0
chryseobacterium_piperi,29.0,22.985202859027247,1.0
alicyclobacillus_ferrooxydans,30.0,35.921346862992515,4.0
longispora_albida,28.0,29.68408664190735,2.0
desulfitobacterium_hafniense,34.0,40.566587387451314,0.0
halanaerobium_saccharolyticum,37.0,39.86730056082519,3.0
streptomyces_decoyicus,29.0,26.391290290971966,0.0
vibrio_quintilis,28.0,33.65796722582306,0.0
aeromicrobium_erythreum,33.0,31.437035679279155,4.0
acinetobacter_johnsonii,29.0,25.893250488415315,1.0
oceanobacillus_caeni,32.0,43.856083544199564,3.0
jannaschia_rubra,25.0,26.055046597058066,2.0
comamonas_composti,28.0,21.778837419486386,4.0
sphingobium_ummariense,28.0,32.136453864334484,3.0
bacillus_cellulosilyticus,32.0,38.79377769756283,1.0
bacillus_novalis,30.0,34.87399740997575,1.0
photobacterium_sanctipauli,28.0,22.97683604903485,3.0
dokdonia_donghaensis,30.0,19.07538907955608,0.0
kordiimonas_gwangyangensis,36.0,22.43238684337598,2.0
corynebacterium_ulceribovis,37.0,28.88385885756527,2.0
campylobacter_showae,37.0,38.07436256606904,2.0
fretibacterium_fastidiosum,37.0,54.194758374559164,3.0
hydrocarboniphaga_effusa,29.0,21.897236137859945,0.0
carnimonas_nigrificans,30.0,30.40714564658296,3.0
celeribacter_indicus,25.0,33.210084629466124,4.0
lactobacillus_salivarius,37.0,45.52349753767355,4.0
actinomyces_radicidentis,37.0,28.048346883988238,4.0
capnocytophaga_sputigena,37.0,36.104305875963256,2.0
mycobacterium_colombiense,37.0,32.104434279795996,0.0
streptomyces_ipomoeae,27.0,31.128889952615054,3.0
actinomyces_suimastitidis,37.0,30.5226671186689,3.0
lactobacillus_shenzhenensis,37.0,35.847873276817765,4.0
xanthomonas_pisi,27.0,28.025222931932724,2.0
methylobacter_tundripaludum,22.0,19.69907936763008,4.0
rhizobium_sullae,28.0,30.691597517196055,4.0
bacillus_marmarensis,30.0,32.42538144580058,2.0
paenibacillus_borealis,30.0,22.287246392357552,4.0
mycobacterium_wolinskyi,32.0,34.39362683591175,4.0
aliivibrio_logei,18.0,17.144580336863655,1.0
nevskia_soli,28.0,27.42519689565116,2.0
bacillus_boroniphilus,30.0,33.51534492366025,1.0
clostridium_cellulolyticum,35.0,26.853726666285425,2.0
castellaniella_caeni,28.0,37.09569738908088,0.0
mycobacterium_kyorinense,37.0,33.525103273313334,4.0
paraburkholderia_mimosarum,30.0,32.424594694790066,3.0
timonella_senegalensis,30.0,23.703644660983983,4.0
haemophilus_haemolyticus,37.0,41.98135264081118,1.0
bdellovibrio_bacteriovorus,28.0,20.080550009747263,3.0
psychrobacter_phenylpyruvicus,31.0,26.07843008955703,2.0
