,true,pred,kfold
allobaculum_stercoricanis,37.0,45.20705948500741,3.0
shewanella_algae,28.0,23.473861917564456,1.0
bifidobacterium_saguini,37.0,33.07573014666246,4.0
ochrobactrum_rhizosphaerae,28.0,32.35375737095694,1.0
sphingomonas_haloaromaticamans,30.0,26.412474803627006,0.0
kurthia_massiliensis,28.0,29.84902522218109,0.0
bacillus_ligniniphilus,30.0,33.24128605023002,1.0
planococcus_maritimus,29.0,27.44575684205344,2.0
collinsella_aerofaciens,37.0,36.76174250325433,3.0
planococcus_halocryophilus,18.0,20.439279884783247,2.0
streptococcus_ictaluri,30.0,26.00281786960542,2.0
enterococcus_asini,37.0,25.94716933814512,1.0
palaeococcus_pacificus,80.0,72.60472567186754,1.0
clostridium_baratii,37.0,38.88829338747863,1.0
paraglaciecola_chathamensis,18.0,20.35487239340867,4.0
shewanella_oneidensis,30.0,20.67232515349047,4.0
lactococcus_lactis,31.0,28.036246295186906,1.0
shewanella_baltica,25.0,15.441707843939767,1.0
methylotenera_versatilis,25.0,16.218928614072524,4.0
eubacterium_sulci,37.0,38.53089220464454,1.0
glaciecola_pallidula,13.0,10.79513404768992,4.0
paenibacillus_lactis,30.0,33.694615859024125,0.0
nocardia_caishijiensis,29.0,26.720445280474415,2.0
balneola_vulgaris,27.0,16.73222229779313,3.0
streptomyces_viridosporus,28.0,32.51032532942848,3.0
caenibacillus_caldisaponilyticus,55.0,53.3373643034356,1.0
desulfovibrio_vulgaris,34.0,28.075146115476173,2.0
actinoalloteichus_spitiensis,30.0,28.350913234286764,3.0
nitratifractor_salsuginis,59.0,60.38431756417462,0.0
cladophialophora_carrionii,25.0,22.959926914762228,4.0
aspergillus_brasiliensis,26.0,26.71301720595094,3.0
herbaspirillum_rhizosphaerae,27.0,20.0054670447022,4.0
tepidiphilus_thermophilus,50.0,63.10405805748168,1.0
rhodobacter_johrii,28.0,28.895639740048445,0.0
hoeflea_phototrophica,30.0,25.587849303622452,2.0
alicycliphilus_denitrificans,29.0,35.13809464229248,3.0
dothistroma_septosporum,20.0,12.141100976406534,2.0
denitrovibrio_acetiphilus,30.0,31.80127879351329,1.0
azovibrio_restrictus,28.0,30.512857213794526,3.0
frateuria_aurantia,27.0,25.088245454453237,3.0
vibrio_owensii,27.0,28.91579130381635,1.0
herbaspirillum_huttiense,28.0,22.12186971386967,2.0
methylophaga_frappieri,29.0,20.49050428945694,4.0
providencia_burhodogranariea,31.0,24.27553686964813,4.0
halanaerobium_congolense,42.0,43.259633604193695,0.0
acinetobacter_indicus,31.0,36.693352362533155,0.0
streptobacillus_moniliformis,37.0,31.457277317571183,4.0
novosphingobium_aromaticivorans,30.0,35.3648178192887,2.0
pseudoalteromonas_issachenkonii,23.0,15.33835762724378,3.0
parascardovia_denticolens,37.0,38.91294089073729,3.0
tetrasphaera_jenkinsii,25.0,19.556359024093297,2.0
corynebacterium_minutissimum,35.0,31.12459166261938,3.0
haematospirillum_jordaniae,37.0,38.188292798231046,4.0
peptoniphilus_lacrimalis,37.0,47.962675074325766,3.0
dialister_invisus,36.0,42.42519812872618,0.0
actinomadura_rubrobrunea,55.0,46.86280208215788,1.0
nocardiopsis_halophila,28.0,33.54331770341602,3.0
histoplasma_capsulatum,29.0,24.696986918919265,1.0
weissella_confusa,31.0,26.460329074282967,0.0
desulfotomaculum_thermosubterraneum,60.0,60.73945325837426,3.0
mycobacterium_haemophilum,31.0,34.06707893588288,2.0
