,true,pred,kfold
allobaculum_stercoricanis,37.0,34.5305,3.0
shewanella_algae,28.0,28.660115,1.0
bifidobacterium_saguini,37.0,35.3875,4.0
ochrobactrum_rhizosphaerae,28.0,29.756899999999998,1.0
sphingomonas_haloaromaticamans,30.0,29.321349,0.0
kurthia_massiliensis,28.0,31.749869000000007,0.0
bacillus_ligniniphilus,30.0,33.016498999999996,1.0
planococcus_maritimus,29.0,30.201832999999997,2.0
collinsella_aerofaciens,37.0,35.719725,3.0
planococcus_halocryophilus,18.0,24.258084,2.0
streptococcus_ictaluri,30.0,35.0616,2.0
enterococcus_asini,37.0,34.1391,1.0
palaeococcus_pacificus,80.0,78.27465,1.0
clostridium_baratii,37.0,36.9915,1.0
paraglaciecola_chathamensis,18.0,25.055288999999966,4.0
shewanella_oneidensis,30.0,27.947416,4.0
lactococcus_lactis,31.0,30.377616999999997,1.0
shewanella_baltica,25.0,25.637726999999998,1.0
methylotenera_versatilis,25.0,23.985666000000002,4.0
eubacterium_sulci,37.0,36.174,1.0
glaciecola_pallidula,13.0,16.108333000000002,4.0
paenibacillus_lactis,30.0,31.284208,0.0
nocardia_caishijiensis,29.0,29.581,2.0
balneola_vulgaris,27.0,27.960633,3.0
streptomyces_viridosporus,28.0,27.686,3.0
caenibacillus_caldisaponilyticus,55.0,45.407965,1.0
desulfovibrio_vulgaris,34.0,31.8835,2.0
actinoalloteichus_spitiensis,30.0,29.831999,3.0
nitratifractor_salsuginis,59.0,44.542581999999996,0.0
cladophialophora_carrionii,25.0,24.275,4.0
aspergillus_brasiliensis,26.0,25.972,3.0
herbaspirillum_rhizosphaerae,27.0,28.86525,4.0
tepidiphilus_thermophilus,50.0,46.085,1.0
rhodobacter_johrii,28.0,29.497747999999998,0.0
hoeflea_phototrophica,30.0,28.028999999999993,2.0
alicycliphilus_denitrificans,29.0,30.60125,3.0
dothistroma_septosporum,20.0,24.179162,2.0
denitrovibrio_acetiphilus,30.0,34.5877,1.0
azovibrio_restrictus,28.0,32.06485,3.0
frateuria_aurantia,27.0,30.18125,3.0
vibrio_owensii,27.0,29.043199999999985,1.0
herbaspirillum_huttiense,28.0,29.77115,2.0
methylophaga_frappieri,29.0,28.5955,4.0
providencia_burhodogranariea,31.0,30.954248999999997,4.0
halanaerobium_congolense,42.0,36.572,0.0
acinetobacter_indicus,31.0,29.971583,0.0
streptobacillus_moniliformis,37.0,36.949299999999994,4.0
novosphingobium_aromaticivorans,30.0,28.601699999999997,2.0
pseudoalteromonas_issachenkonii,23.0,25.214266,3.0
parascardovia_denticolens,37.0,33.1641,3.0
tetrasphaera_jenkinsii,25.0,29.0255,2.0
corynebacterium_minutissimum,35.0,35.685333,3.0
haematospirillum_jordaniae,37.0,30.463849999999997,4.0
peptoniphilus_lacrimalis,37.0,35.731,3.0
dialister_invisus,36.0,36.915425000000006,0.0
actinomadura_rubrobrunea,55.0,33.71275,1.0
nocardiopsis_halophila,28.0,29.294999,3.0
histoplasma_capsulatum,29.0,29.48925,1.0
weissella_confusa,31.0,30.43448600000001,0.0
desulfotomaculum_thermosubterraneum,60.0,57.510165,3.0
mycobacterium_haemophilum,31.0,34.4485,2.0
pediococcus_cellicola,34.0,32.24775,4.0
amycolatopsis_thermoflava,45.0,28.9955,0.0
microbacterium_arborescens,30.0,29.520583,4.0
kluyvera_intermedia,31.0,32.914,3.0
bacillus_circulans,32.0,31.26725,2.0
streptomyces_griseoflavus,27.0,27.689,3.0
pseudoalteromonas_piscicida,28.0,28.219166,0.0
nocardia_farcinica,32.0,30.9005,3.0
sulfurimonas_denitrificans,24.0,30.75925,4.0
streptomyces_galbus,27.0,27.7215,4.0
paenibacillus_odorifer,30.0,30.2255,4.0
blastomyces_dermatitidis,31.0,26.3295,0.0
vagococcus_penaei,30.0,33.1495,3.0
legionella_hackeliae,37.0,34.093498000000004,2.0
nocardia_carnea,29.0,30.89325,2.0
capronia_coronata,20.0,24.9535,3.0
desulfurococcus_kamchatkensis,82.0,85.49145,4.0
lactobacillus_jensenii,37.0,33.4985,2.0
flavobacterium_filum,27.0,26.147299999999998,0.0
rhizobium_tibeticum,28.0,29.021599999999985,3.0
pichia_kudriavzevii,24.0,24.81225,0.0
methylophaga_thiooxydans,28.0,28.4881,0.0
staphylococcus_vitulinus,37.0,35.117,1.0
penicillium_steckii,24.0,24.4825,4.0
nautilia_profundicola,43.0,46.854699999999994,4.0
methanocella_paludicola,37.0,44.503308000000004,1.0
mycoplasma_gallinarum,37.0,35.2595,2.0
nosocomiicoccus_ampullae,32.0,35.03225,3.0
acinetobacter_soli,29.0,30.205624,2.0
malassezia_globosa,30.0,26.399333,1.0
lactobacillus_malefermentans,29.0,30.303767,3.0
thiocystis_violascens,25.0,29.638499999999997,1.0
slackia_piriformis,37.0,35.692525,1.0
komagataeibacter_europaeus,30.0,29.722125,0.0
bacillus_muralis,30.0,30.00805,4.0
lachnoanaerobaculum_saburreum,37.0,37.8876,4.0
mycoplasma_glycophilum,37.0,35.827,4.0
selenomonas_bovis,37.0,37.092458,0.0
persephonella_marina,70.0,55.56134999999998,1.0
leptotrichia_shahii,37.0,37.82,1.0
methanothermobacter_marburgensis,60.0,48.986958,0.0
prevotella_saccharolytica,37.0,36.349,0.0
collimonas_arenae,28.0,27.769199999999998,3.0
thermus_islandicus,65.0,69.12280000000011,1.0
colletotrichum_nymphaeae,20.0,24.538,4.0
chryseolinea_serpens,25.0,28.685183,3.0
corynebacterium_efficiens,37.0,33.4555,1.0
haloferax_prahovense,37.0,36.5762,0.0
bacillus_pseudofirmus,31.0,30.53375,4.0
neisseria_elongata,33.0,34.549358999999995,1.0
flavobacterium_piscis,30.0,24.78975,1.0
methanoplanus_limicola,34.0,40.041050000000006,3.0
ornithinibacillus_californiensis,30.0,32.367599999999996,3.0
clostridium_septicum,37.0,36.63,4.0
cycloclasticus_pugetii,20.0,25.584867,0.0
listeria_seeligeri,36.0,34.0645,0.0
rhynchosporium_secalis,15.0,23.236166,4.0
vibrio_atlanticus,25.0,26.230083,4.0
enhygromyxa_salina,30.0,30.195665999999996,0.0
chryseobacterium_piperi,29.0,28.46675,1.0
