,true,pred,kfold
allobaculum_stercoricanis,37.0,32.98089941933284,3.0
shewanella_algae,28.0,31.710358972974472,1.0
bifidobacterium_saguini,37.0,28.519807569136585,4.0
ochrobactrum_rhizosphaerae,28.0,30.7901981300674,1.0
sphingomonas_haloaromaticamans,30.0,39.777659351226795,0.0
kurthia_massiliensis,28.0,35.41337200291265,0.0
bacillus_ligniniphilus,30.0,40.50382133201749,1.0
planococcus_maritimus,29.0,37.19756764182132,2.0
collinsella_aerofaciens,37.0,40.30526219975371,3.0
planococcus_halocryophilus,18.0,33.70623182143903,2.0
streptococcus_ictaluri,30.0,29.30653109037003,2.0
enterococcus_asini,37.0,32.07275676490197,1.0
palaeococcus_pacificus,80.0,82.47037995939527,1.0
clostridium_baratii,37.0,52.782318907300684,1.0
paraglaciecola_chathamensis,18.0,16.799519604446388,4.0
shewanella_oneidensis,30.0,21.119201203057514,4.0
lactococcus_lactis,31.0,28.297584661344075,1.0
shewanella_baltica,25.0,19.503609880400496,1.0
methylotenera_versatilis,25.0,18.864903243243944,4.0
eubacterium_sulci,37.0,45.65200581473519,1.0
glaciecola_pallidula,13.0,14.842633730072741,4.0
paenibacillus_lactis,30.0,41.256872296544486,0.0
nocardia_caishijiensis,29.0,36.04557253332658,2.0
balneola_vulgaris,27.0,27.7207317475497,3.0
streptomyces_viridosporus,28.0,44.08986245226354,3.0
caenibacillus_caldisaponilyticus,55.0,51.8181322685687,1.0
desulfovibrio_vulgaris,34.0,40.25220827147641,2.0
actinoalloteichus_spitiensis,30.0,44.12011849184897,3.0
nitratifractor_salsuginis,59.0,56.390420446687365,0.0
cladophialophora_carrionii,25.0,27.000019723643877,4.0
aspergillus_brasiliensis,26.0,29.459352303591366,3.0
herbaspirillum_rhizosphaerae,27.0,26.827811981372115,4.0
tepidiphilus_thermophilus,50.0,52.37752453541518,1.0
rhodobacter_johrii,28.0,40.417084690435175,0.0
hoeflea_phototrophica,30.0,29.43714695638454,2.0
alicycliphilus_denitrificans,29.0,38.545782599260306,3.0
dothistroma_septosporum,20.0,27.596731741956777,2.0
denitrovibrio_acetiphilus,30.0,38.713706269466776,1.0
azovibrio_restrictus,28.0,41.60903784949267,3.0
frateuria_aurantia,27.0,38.76185330578781,3.0
vibrio_owensii,27.0,21.046722446211994,1.0
herbaspirillum_huttiense,28.0,30.231420151730354,2.0
methylophaga_frappieri,29.0,23.29310719152678,4.0
providencia_burhodogranariea,31.0,21.32618019724621,4.0
halanaerobium_congolense,42.0,47.79635099709609,0.0
acinetobacter_indicus,31.0,29.43373309085697,0.0
streptobacillus_moniliformis,37.0,51.95923819693936,4.0
novosphingobium_aromaticivorans,30.0,33.9232439200087,2.0
pseudoalteromonas_issachenkonii,23.0,17.880411835026848,3.0
parascardovia_denticolens,37.0,30.388600231915454,3.0
tetrasphaera_jenkinsii,25.0,35.94980762056349,2.0
corynebacterium_minutissimum,35.0,32.230752135590194,3.0
haematospirillum_jordaniae,37.0,33.73477642074168,4.0
peptoniphilus_lacrimalis,37.0,38.56099546551125,3.0
dialister_invisus,36.0,44.34176860978815,0.0
actinomadura_rubrobrunea,55.0,46.37153447805886,1.0
nocardiopsis_halophila,28.0,45.83494684676365,3.0
histoplasma_capsulatum,29.0,30.494588568939783,1.0
weissella_confusa,31.0,46.5067727333286,0.0
desulfotomaculum_thermosubterraneum,60.0,61.303464276176165,3.0
mycobacterium_haemophilum,31.0,34.110553040802486,2.0
pediococcus_cellicola,34.0,30.23510593264565,4.0
amycolatopsis_thermoflava,45.0,40.04036389729268,0.0
microbacterium_arborescens,30.0,40.782199569190766,4.0
kluyvera_intermedia,31.0,28.355911505664277,3.0
bacillus_circulans,32.0,35.867700569551644,2.0
streptomyces_griseoflavus,27.0,42.75148671984112,3.0
pseudoalteromonas_piscicida,28.0,20.73900406461736,0.0
nocardia_farcinica,32.0,40.686316270093045,3.0
sulfurimonas_denitrificans,24.0,37.90544941610981,4.0
streptomyces_galbus,27.0,40.06066145805813,4.0
paenibacillus_odorifer,30.0,32.711599520288985,4.0
blastomyces_dermatitidis,31.0,29.066281414139173,0.0
vagococcus_penaei,30.0,28.137505856833208,3.0
legionella_hackeliae,37.0,25.204700290002243,2.0
nocardia_carnea,29.0,37.27662277170282,2.0
capronia_coronata,20.0,27.054326680812885,3.0
desulfurococcus_kamchatkensis,82.0,84.54853715686284,4.0
lactobacillus_jensenii,37.0,26.86706622081394,2.0
flavobacterium_filum,27.0,27.216008582758995,0.0
