,true,pred,kfold
allobaculum_stercoricanis,37.0,36.844857539547164,3.0
shewanella_algae,28.0,25.625198556569057,1.0
bifidobacterium_saguini,37.0,39.369552503840794,4.0
ochrobactrum_rhizosphaerae,28.0,31.591069470651245,1.0
sphingomonas_haloaromaticamans,30.0,24.663253131714196,0.0
kurthia_massiliensis,28.0,32.358869916597065,0.0
bacillus_ligniniphilus,30.0,32.01152616643632,1.0
planococcus_maritimus,29.0,14.60116414179668,2.0
collinsella_aerofaciens,37.0,28.467467138059867,3.0
planococcus_halocryophilus,18.0,14.60116414179668,2.0
streptococcus_ictaluri,30.0,33.394205510531684,2.0
enterococcus_asini,37.0,48.35910269346702,1.0
palaeococcus_pacificus,80.0,75.49335323426921,1.0
clostridium_baratii,37.0,69.18383216753195,1.0
paraglaciecola_chathamensis,18.0,22.77625375212455,4.0
shewanella_oneidensis,30.0,27.337595179727302,4.0
lactococcus_lactis,31.0,10.116960604072549,1.0
shewanella_baltica,25.0,10.116960604072549,1.0
methylotenera_versatilis,25.0,14.703844152965775,4.0
eubacterium_sulci,37.0,43.024014085278004,1.0
glaciecola_pallidula,13.0,9.604887118512915,4.0
paenibacillus_lactis,30.0,41.21121406059992,0.0
nocardia_caishijiensis,29.0,29.166732004447248,2.0
balneola_vulgaris,27.0,14.982838879227073,3.0
streptomyces_viridosporus,28.0,40.18995254001243,3.0
caenibacillus_caldisaponilyticus,55.0,49.7354004328857,1.0
desulfovibrio_vulgaris,34.0,26.385523443776826,2.0
actinoalloteichus_spitiensis,30.0,40.18995254001243,3.0
nitratifractor_salsuginis,59.0,61.944559941877365,0.0
cladophialophora_carrionii,25.0,22.680382251167725,4.0
aspergillus_brasiliensis,26.0,23.98343947518385,3.0
herbaspirillum_rhizosphaerae,27.0,31.151723799817912,4.0
tepidiphilus_thermophilus,50.0,59.95825779882973,1.0
rhodobacter_johrii,28.0,30.32088395032803,0.0
hoeflea_phototrophica,30.0,29.166732004447248,2.0
alicycliphilus_denitrificans,29.0,36.947992011068116,3.0
dothistroma_septosporum,20.0,22.587553996792153,2.0
denitrovibrio_acetiphilus,30.0,48.35910269346702,1.0
azovibrio_restrictus,28.0,36.947992011068116,3.0
frateuria_aurantia,27.0,28.777351003099753,3.0
vibrio_owensii,27.0,22.191843610336196,1.0
herbaspirillum_huttiense,28.0,26.385523443776826,2.0
methylophaga_frappieri,29.0,30.290551406705966,4.0
providencia_burhodogranariea,31.0,22.77625375212455,4.0
halanaerobium_congolense,42.0,35.39535065893653,0.0
acinetobacter_indicus,31.0,29.286873692083038,0.0
streptobacillus_moniliformis,37.0,56.60697940783998,4.0
novosphingobium_aromaticivorans,30.0,27.734558603716927,2.0
pseudoalteromonas_issachenkonii,23.0,19.61808672069865,3.0
parascardovia_denticolens,37.0,26.079630703287258,3.0
