strain	predicted_temperature	growth_temperature
acetomicrobium_hydrogeniformans_bacteria	52.9785662669	55
acidianus_hospitalis_archaea	68.0605483797	80
acidibacillus_ferrooxidans_bacteria	41.0238199341	30
agrococcus_pavilionensis_bacteria	30.8469508714	6
alicyclobacillus_mali_bacteria	52.5935441135	NA
aquifex_aeolicus_bacteria	89.0902080465	95
batrachochytrium_dendrobatidis_eukaryotes	22.2653420968	25
candidatus_desulfofervidus_bacteria	60.9607710344	60
candidatus_desulforudis_bacteria	53.27327853	60
candidatus_evansia_bacteria	64.0459513429	NA
candidatus_kryptobacter_bacteria	67.6818179566	NA
candidatus_methanoperedens_archaea	58.5874506952	NA
candidatus_midichloria_bacteria	38.3383706854	NA
candidatus_portiera_bacteria	54.2360353967	NA
chryseobacterium_tenax_bacteria	25.0202259791	20
desulfurococcus_amylolyticus_archaea	85.6278313551	90
fervidobacterium_thailandensis_bacteria	70.8018548862	80
francisella_persica_bacteria	35.2535648975	34
gilvimarinus_agarilyticus_bacteria	29.4207638203	27.5
halapricum_salinum_archaea	40.3495356496	37
halothermothrix_orenii	48.3495533834	60
kosmotoga_pacifica_bacteria	59.944826943	70
kwoniella_dejecticola_eukaryotes	26.7237921251	27.5
luteipulveratus_halotolerans_bacteria	28.0706662494	24
mannheimia_massilioguelmaensis_bacteria	33.8539197274	37
metallosphaera_yellowstonensis_archaea	70.4260723783	70
microcystis_panniformis_bacteria	18.7341418185	25
oscillochloris_trichoides_bacteria	42.2118832285	28
parageobacillus_caldoxylosilyticus_bacteria	49.9489614067	55
peptostreptococcaceae_bacterium	40.0097656946	NA
pyrococcus_yayanosii	87.6291325455	95
rhodoluna_lacicola_bacteria	25.4697733831	20
rhodopirellula_sallentina_bacteria	31.768388326	28
rickettsia_aeschlimannii_bacteria	31.8763701864	32
stanieria_cyanosphaera_bacteria	18.3578928925	NA
streptococcus_halotolerans_bacteria	35.5819266986	37
sulfolobus_islandicus_archaea	72.9282819944	77.5
tepidimonas_fonticaldi	41.8459505319	55
thermanaerothrix_daxensis_bacteria	66.8355890934	60
thermincola_potens_bacteria	51.3636450037	NA
thermococcus_eurythermalis_archaea	80.3288229204	85
thermococcus_nautili	79.6309223852	87.5
thermococcus_onnurineus_archaea	80.5279988912	80
thermococcus_piezophilus_archaea	84.6727636948	75
thermofilum_adornatus_archaea	77.3890439045	92
thermofilum_carboxyditrophus_archaea	76.4025456416	90
thermofilum_uzonense_archaea	90.3220833276	85
thermogladius_cellulolyticus_archaea	78.1312719908	84
thermus_amyloliquefaciens_bacteria	68.2116343939	65
thermus_parvatiensis_bacteria	68.781771067	75
tilletia_walkeri	19.8912846659	21
trichodesmium_erythraeum	23.5353123179	24
vulcanisaeta_moutnovskia_archaea	84.1582009235	79
vulcanisaeta_thermophila_archaea	90.1015709819	85
