index,exprimental,predicted
allobaculum_stercoricanis,37.0,50.255353263507544
shewanella_algae,28.0,21.910669062799748
bifidobacterium_saguini,37.0,33.317090767624414
ochrobactrum_rhizosphaerae,28.0,31.603251532458472
sphingomonas_haloaromaticamans,30.0,29.980148726619518
kurthia_massiliensis,28.0,28.032428906394316
bacillus_ligniniphilus,30.0,36.2156016570906
planococcus_maritimus,29.0,26.734010905515202
collinsella_aerofaciens,37.0,29.575719128013706
planococcus_halocryophilus,18.0,21.91891831195494
streptococcus_ictaluri,30.0,23.138797925842354
enterococcus_asini,37.0,27.16290643378678
palaeococcus_pacificus,80.0,77.42267555355828
clostridium_baratii,37.0,38.192547988892855
paraglaciecola_chathamensis,18.0,19.026002345805082
shewanella_oneidensis,30.0,20.635195908453962
lactococcus_lactis,31.0,29.638284847103726
shewanella_baltica,25.0,16.400625535458598
methylotenera_versatilis,25.0,15.043342836384806
eubacterium_sulci,37.0,43.23340208709736
glaciecola_pallidula,13.0,12.421820703435937
paenibacillus_lactis,30.0,33.42883798033598
nocardia_caishijiensis,29.0,29.74523160244599
balneola_vulgaris,27.0,17.47867953159127
streptomyces_viridosporus,28.0,33.19364147334195
caenibacillus_caldisaponilyticus,55.0,53.4067383840463
desulfovibrio_vulgaris,34.0,30.466937323734673
actinoalloteichus_spitiensis,30.0,31.371940061291582
nitratifractor_salsuginis,59.0,61.527010005423946
cladophialophora_carrionii,25.0,23.050011820393244
aspergillus_brasiliensis,26.0,26.599236327441115
herbaspirillum_rhizosphaerae,27.0,20.65940040642035
tepidiphilus_thermophilus,50.0,51.95861468557689
rhodobacter_johrii,28.0,34.759521018399255
hoeflea_phototrophica,30.0,25.40580309425296
alicycliphilus_denitrificans,29.0,34.16766046076232
dothistroma_septosporum,20.0,14.696374683082375
denitrovibrio_acetiphilus,30.0,27.132155658252056
azovibrio_restrictus,28.0,33.30573746582887
frateuria_aurantia,27.0,20.806928513379937
vibrio_owensii,27.0,27.224566139803294
herbaspirillum_huttiense,28.0,24.828228792935846
methylophaga_frappieri,29.0,19.571108648804184
providencia_burhodogranariea,31.0,24.495841365061594
halanaerobium_congolense,42.0,42.19804076138941
acinetobacter_indicus,31.0,33.77801062258569
streptobacillus_moniliformis,37.0,38.57357149759449
novosphingobium_aromaticivorans,30.0,33.56933362678532
pseudoalteromonas_issachenkonii,23.0,18.302458547804775
parascardovia_denticolens,37.0,41.40006634540609
tetrasphaera_jenkinsii,25.0,17.19370773877144
corynebacterium_minutissimum,35.0,27.878296077630274
haematospirillum_jordaniae,37.0,39.68930853034105
peptoniphilus_lacrimalis,37.0,41.477453625341276
dialister_invisus,36.0,35.857576689232644
actinomadura_rubrobrunea,55.0,46.8067095872833
nocardiopsis_halophila,28.0,31.916281086521405
histoplasma_capsulatum,29.0,21.37990829331227
weissella_confusa,31.0,25.96253116399846
desulfotomaculum_thermosubterraneum,60.0,61.95142891479947
mycobacterium_haemophilum,31.0,35.04958358297647
pediococcus_cellicola,34.0,26.870891569611366
amycolatopsis_thermoflava,45.0,35.19272349404663
microbacterium_arborescens,30.0,20.427847681897706
kluyvera_intermedia,31.0,29.41136982382467
bacillus_circulans,32.0,38.13086999607641
